size, window,hits, misses, hitRatio, missRatio, executionTime,
3, 4,9420, 554, 0.942, 0.0554, 4001,
4, 4,9635, 339, 0.9635, 0.0339, 4004,
5, 4,9753, 221, 0.9753, 0.0221, 3996,
6, 4,9819, 155, 0.9819, 0.0155, 3999,
7, 4,9861, 113, 0.9861, 0.0113, 4000,
8, 4,9887, 87, 0.9887, 0.0087, 4002,
9, 4,9904, 70, 0.9904, 0.007, 0,
10, 4,9924, 50, 0.9924, 0.005, 3965,
11, 4,9937, 37, 0.9937, 0.0037, 4249,
12, 4,9951, 23, 0.9951, 0.0023, 8001,
13, 4,9953, 21, 0.9953, 0.0021, 0,
14, 4,9958, 16, 0.9958, 0.0016, 3999,
15, 4,9963, 11, 0.9963, 0.0011, 8003,
16, 4,9969, 5, 0.9969, 0.0005, 5145,
17, 4,9971, 3, 0.9971, 0.0003, 3941,
18, 4,9973, 1, 0.9973, 0.0001, 4006,
19, 4,9973, 1, 0.9973, 0.0001, 4000,
20, 4,9973, 1, 0.9973, 0.0001, 3998,
21, 4,9974, 0, 0.9974, 0, 3999,
22, 4,9974, 0, 0.9974, 0, 4001,
23, 4,9974, 0, 0.9974, 0, 0,
24, 4,9974, 0, 0.9974, 0, 3999,
25, 4,9974, 0, 0.9974, 0, 4015,
26, 4,9974, 0, 0.9974, 0, 3985,
27, 4,9974, 0, 0.9974, 0, 4000,
28, 4,9974, 0, 0.9974, 0, 4000,
29, 4,9974, 0, 0.9974, 0, 3999,
30, 4,9974, 0, 0.9974, 0, 4002,
31, 4,9974, 0, 0.9974, 0, 4028,
32, 4,9974, 0, 0.9974, 0, 3998,
33, 4,9974, 0, 0.9974, 0, 4000,
34, 4,9974, 0, 0.9974, 0, 3999,
35, 4,9974, 0, 0.9974, 0, 3985,
36, 4,9974, 0, 0.9974, 0, 4015,
37, 4,9974, 0, 0.9974, 0, 0,
38, 4,9974, 0, 0.9974, 0, 4001,
39, 4,9974, 0, 0.9974, 0, 4000,
40, 4,9974, 0, 0.9974, 0, 4000,
41, 4,9974, 0, 0.9974, 0, 4004,
42, 4,9974, 0, 0.9974, 0, 4001,
43, 4,9974, 0, 0.9974, 0, 3997,
44, 4,9974, 0, 0.9974, 0, 3975,
45, 4,9974, 0, 0.9974, 0, 4035,
46, 4,9974, 0, 0.9974, 0, 3963,
47, 4,9974, 0, 0.9974, 0, 4033,
48, 4,9974, 0, 0.9974, 0, 3623,
49, 4,9974, 0, 0.9974, 0, 3959,
