size, hits, misses, hitRatio, missRatio, executionTime,
3, 694, 9264, 0.0694, 0.9264, 12032,
4, 922, 9036, 0.0922, 0.9036, 10996,
5, 1183, 8775, 0.1183, 0.8775, 13999,
6, 1406, 8552, 0.1406, 0.8552, 10967,
7, 1627, 8331, 0.1627, 0.8331, 11023,
8, 1864, 8094, 0.1864, 0.8094, 12982,
9, 2103, 7855, 0.2103, 0.7855, 12019,
10, 2301, 7657, 0.2301, 0.7657, 12000,
11, 2605, 7353, 0.2605, 0.7353, 11994,
12, 2780, 7178, 0.278, 0.7178, 13971,
13, 3067, 6891, 0.3067, 0.6891, 12002,
14, 3262, 6696, 0.3262, 0.6696, 11999,
15, 3513, 6445, 0.3513, 0.6445, 15999,
16, 3756, 6202, 0.3756, 0.6202, 10999,
17, 4074, 5884, 0.4074, 0.5884, 12036,
18, 4300, 5658, 0.43, 0.5658, 11997,
19, 4465, 5493, 0.4465, 0.5493, 11003,
20, 4804, 5154, 0.4804, 0.5154, 12001,
21, 4976, 4982, 0.4976, 0.4982, 11000,
22, 5255, 4703, 0.5255, 0.4703, 10964,
23, 5495, 4463, 0.5495, 0.4463, 12035,
24, 5626, 4332, 0.5626, 0.4332, 12002,
25, 5911, 4047, 0.5911, 0.4047, 11967,
26, 6117, 3841, 0.6117, 0.3841, 11030,
27, 6354, 3604, 0.6354, 0.3604, 12000,
28, 6580, 3378, 0.658, 0.3378, 10995,
29, 6830, 3128, 0.683, 0.3128, 11041,
30, 7096, 2862, 0.7096, 0.2862, 12007,
31, 7310, 2648, 0.731, 0.2648, 11001,
32, 7582, 2376, 0.7582, 0.2376, 12998,
33, 7829, 2129, 0.7829, 0.2129, 11001,
34, 8000, 1958, 0.8, 0.1958, 10967,
35, 8295, 1663, 0.8295, 0.1663, 12033,
36, 8493, 1465, 0.8493, 0.1465, 10998,
37, 8752, 1206, 0.8752, 0.1206, 12999,
38, 8986, 972, 0.8986, 0.0972, 10988,
39, 9235, 723, 0.9235, 0.0723, 13009,
40, 9484, 474, 0.9484, 0.0474, 11005,
41, 9729, 229, 0.9729, 0.0229, 13968,
42, 9958, 0, 0.9958, 0, 11027,
43, 9958, 0, 0.9958, 0, 12999,
44, 9958, 0, 0.9958, 0, 11975,
45, 9958, 0, 0.9958, 0, 12031,
46, 9958, 0, 0.9958, 0, 12001,
47, 9958, 0, 0.9958, 0, 11993,
48, 9958, 0, 0.9958, 0, 10972,
49, 9958, 0, 0.9958, 0, 12036,
