size, hits, misses, hitRatio, missRatio, executionTime, 
3, 7312, 2601, 0.7312, 0.2601, 5549, 
4, 7885, 2028, 0.7885, 0.2028, 4006, 
5, 8274, 1639, 0.8274, 0.1639, 3992, 
6, 8561, 1352, 0.8561, 0.1352, 4000, 
7, 8744, 1169, 0.8744, 0.1169, 4002, 
8, 8901, 1012, 0.8901, 0.1012, 3998, 
9, 9026, 887, 0.9026, 0.0887, 4000, 
10, 9126, 787, 0.9126, 0.0787, 3994, 
11, 9215, 698, 0.9215, 0.0698, 8004, 
12, 9286, 627, 0.9286, 0.0627, 4005, 
13, 9339, 574, 0.9339, 0.0574, 4001, 
14, 9388, 525, 0.9388, 0.0525, 3998, 
15, 9424, 489, 0.9424, 0.0489, 3998, 
16, 9463, 450, 0.9463, 0.045, 4001, 
17, 9498, 415, 0.9498, 0.0415, 3964, 
18, 9531, 382, 0.9531, 0.0382, 4033, 
19, 9560, 353, 0.956, 0.0353, 4000, 
20, 9586, 327, 0.9586, 0.0327, 4001, 
21, 9615, 298, 0.9615, 0.0298, 8002, 
22, 9628, 285, 0.9628, 0.0285, 3966, 
23, 9650, 263, 0.965, 0.0263, 3996, 
24, 9668, 245, 0.9668, 0.0245, 4092, 
25, 9681, 232, 0.9681, 0.0232, 3993, 
26, 9691, 222, 0.9691, 0.0222, 3998, 
27, 9702, 211, 0.9702, 0.0211, 3993, 
28, 9716, 197, 0.9716, 0.0197, 4000, 
29, 9733, 180, 0.9733, 0.018, 4003, 
30, 9740, 173, 0.974, 0.0173, 4004, 
31, 9755, 158, 0.9755, 0.0158, 3999, 
32, 9764, 149, 0.9764, 0.0149, 3994, 
33, 9778, 135, 0.9778, 0.0135, 4000, 
34, 9785, 128, 0.9785, 0.0128, 4007, 
35, 9787, 126, 0.9787, 0.0126, 4001, 
36, 9793, 120, 0.9793, 0.012, 4000, 
37, 9797, 116, 0.9797, 0.0116, 3963, 
38, 9807, 106, 0.9807, 0.0106, 3999, 
39, 9813, 100, 0.9813, 0.01, 4000, 
40, 9820, 93, 0.982, 0.0093, 4000, 
41, 9822, 91, 0.9822, 0.0091, 4001, 
42, 9826, 87, 0.9826, 0.0087, 4000, 
43, 9833, 80, 0.9833, 0.008, 3999, 
44, 9836, 77, 0.9836, 0.0077, 4003, 
45, 9839, 74, 0.9839, 0.0074, 4000, 
46, 9844, 69, 0.9844, 0.0069, 3998, 
47, 9845, 68, 0.9845, 0.0068, 3999, 
48, 9846, 67, 0.9846, 0.0067, 4000, 
49, 9850, 63, 0.985, 0.0063, 4001, 
