size, hits, misses, hitRatio, missRatio, executionTime, 
3, 9420, 554, 0.942, 0.0554, 4033, 
4, 9635, 339, 0.9635, 0.0339, 3966, 
5, 9753, 221, 0.9753, 0.0221, 4035, 
6, 9819, 155, 0.9819, 0.0155, 3999, 
7, 9861, 113, 0.9861, 0.0113, 3998, 
8, 9887, 87, 0.9887, 0.0087, 4003, 
9, 9904, 70, 0.9904, 0.007, 4000, 
10, 9924, 50, 0.9924, 0.005, 3998, 
11, 9937, 37, 0.9937, 0.0037, 3999, 
12, 9951, 23, 0.9951, 0.0023, 0, 
13, 9953, 21, 0.9953, 0.0021, 4003, 
14, 9958, 16, 0.9958, 0.0016, 3999, 
15, 9963, 11, 0.9963, 0.0011, 3998, 
16, 9969, 5, 0.9969, 0.0005, 4001, 
17, 9971, 3, 0.9971, 0.0003, 3992, 
18, 9973, 1, 0.9973, 0.0001, 0, 
19, 9973, 1, 0.9973, 0.0001, 4001, 
20, 9973, 1, 0.9973, 0.0001, 0, 
21, 9974, 0, 0.9974, 0, 4029, 
22, 9974, 0, 0.9974, 0, 3971, 
23, 9974, 0, 0.9974, 0, 4030, 
24, 9974, 0, 0.9974, 0, 3998, 
25, 9974, 0, 0.9974, 0, 4155, 
26, 9974, 0, 0.9974, 0, 3985, 
27, 9974, 0, 0.9974, 0, 4004, 
28, 9974, 0, 0.9974, 0, 4000, 
29, 9974, 0, 0.9974, 0, 3996, 
30, 9974, 0, 0.9974, 0, 0, 
31, 9974, 0, 0.9974, 0, 4001, 
32, 9974, 0, 0.9974, 0, 4001, 
33, 9974, 0, 0.9974, 0, 3981, 
34, 9974, 0, 0.9974, 0, 3987, 
35, 9974, 0, 0.9974, 0, 3999, 
36, 9974, 0, 0.9974, 0, 4025, 
37, 9974, 0, 0.9974, 0, 4008, 
38, 9974, 0, 0.9974, 0, 3998, 
39, 9974, 0, 0.9974, 0, 0, 
40, 9974, 0, 0.9974, 0, 4005, 
41, 9974, 0, 0.9974, 0, 3996, 
42, 9974, 0, 0.9974, 0, 4002, 
43, 9974, 0, 0.9974, 0, 3995, 
44, 9974, 0, 0.9974, 0, 7972, 
45, 9974, 0, 0.9974, 0, 3997, 
46, 9974, 0, 0.9974, 0, 4034, 
47, 9974, 0, 0.9974, 0, 3999, 
48, 9974, 0, 0.9974, 0, 0, 
49, 9974, 0, 0.9974, 0, 4003, 
