size, hits, misses, hitRatio, missRatio, executionTime,
3, 2389, 7512, 0.2389, 0.7512, 10065,
4, 2992, 6909, 0.2992, 0.6909, 8025,
5, 3271, 6630, 0.3271, 0.663, 8033,
6, 3582, 6319, 0.3582, 0.6319, 8008,
7, 3921, 5980, 0.3921, 0.598, 7956,
8, 4190, 5711, 0.419, 0.5711, 10466,
9, 4391, 5510, 0.4391, 0.551, 8793,
10, 4592, 5309, 0.4592, 0.5309, 7998,
11, 4747, 5154, 0.4747, 0.5154, 8031,
12, 4892, 5009, 0.4892, 0.5009, 12010,
13, 5030, 4871, 0.503, 0.4871, 7995,
14, 5212, 4689, 0.5212, 0.4689, 8005,
15, 5352, 4549, 0.5352, 0.4549, 7704,
16, 5471, 4430, 0.5471, 0.443, 7572,
17, 5584, 4317, 0.5584, 0.4317, 8000,
18, 5673, 4228, 0.5673, 0.4228, 8649,
19, 5761, 4140, 0.5761, 0.414, 8001,
20, 5855, 4046, 0.5855, 0.4046, 7970,
21, 5944, 3957, 0.5944, 0.3957, 4010,
22, 6025, 3876, 0.6025, 0.3876, 7991,
23, 6122, 3779, 0.6122, 0.3779, 8001,
24, 6224, 3677, 0.6224, 0.3677, 8029,
25, 6305, 3596, 0.6305, 0.3596, 7998,
26, 6383, 3518, 0.6383, 0.3518, 3972,
27, 6460, 3441, 0.646, 0.3441, 8251,
28, 6527, 3374, 0.6527, 0.3374, 11153,
29, 6600, 3301, 0.66, 0.3301, 3539,
30, 6677, 3224, 0.6677, 0.3224, 8038,
31, 6734, 3167, 0.6734, 0.3167, 8001,
32, 6798, 3103, 0.6798, 0.3103, 7996,
33, 6868, 3033, 0.6868, 0.3033, 4000,
34, 6930, 2971, 0.693, 0.2971, 7966,
35, 6983, 2918, 0.6983, 0.2918, 9050,
36, 7045, 2856, 0.7045, 0.2856, 4003,
37, 7103, 2798, 0.7103, 0.2798, 7967,
38, 7156, 2745, 0.7156, 0.2745, 7096,
39, 7206, 2695, 0.7206, 0.2695, 4000,
40, 7250, 2651, 0.725, 0.2651, 7971,
41, 7319, 2582, 0.7319, 0.2582, 4996,
42, 7382, 2519, 0.7382, 0.2519, 7994,
43, 7445, 2456, 0.7445, 0.2456, 6129,
44, 7497, 2404, 0.7497, 0.2404, 8028,
45, 7559, 2342, 0.7559, 0.2342, 3997,
46, 7623, 2278, 0.7623, 0.2278, 7967,
47, 7664, 2237, 0.7664, 0.2237, 10236,
48, 7720, 2181, 0.772, 0.2181, 8035,
49, 7779, 2122, 0.7779, 0.2122, 7998,
