size, window,hits, misses, hitRatio, missRatio, executionTime,
3, 4,1770, 8131, 0.177, 0.8131, 8021,
4, 4,2202, 7699, 0.2202, 0.7699, 13247,
5, 4,2594, 7307, 0.2594, 0.7307, 7998,
6, 4,2944, 6957, 0.2944, 0.6957, 12001,
7, 4,3235, 6666, 0.3235, 0.6666, 7967,
8, 4,3493, 6408, 0.3493, 0.6408, 12037,
9, 4,3696, 6205, 0.3696, 0.6205, 8004,
10, 4,3917, 5984, 0.3917, 0.5984, 12001,
11, 4,4120, 5781, 0.412, 0.5781, 7992,
12, 4,4291, 5610, 0.4291, 0.561, 11062,
13, 4,4469, 5432, 0.4469, 0.5432, 7911,
14, 4,4634, 5267, 0.4634, 0.5267, 8005,
15, 4,4770, 5131, 0.477, 0.5131, 7999,
16, 4,4905, 4996, 0.4905, 0.4996, 12002,
17, 4,5018, 4883, 0.5018, 0.4883, 7536,
18, 4,5145, 4756, 0.5145, 0.4756, 8001,
19, 4,5277, 4624, 0.5277, 0.4624, 8000,
20, 4,5375, 4526, 0.5375, 0.4526, 8001,
21, 4,5482, 4419, 0.5482, 0.4419, 7998,
22, 4,5602, 4299, 0.5602, 0.4299, 8000,
23, 4,5722, 4179, 0.5722, 0.4179, 8002,
24, 4,5810, 4091, 0.581, 0.4091, 8565,
25, 4,5890, 4011, 0.589, 0.4011, 10151,
26, 4,5969, 3932, 0.5969, 0.3932, 10083,
27, 4,6025, 3876, 0.6025, 0.3876, 8112,
28, 4,6110, 3791, 0.611, 0.3791, 6089,
29, 4,6197, 3704, 0.6197, 0.3704, 10205,
30, 4,6269, 3632, 0.6269, 0.3632, 8170,
31, 4,6343, 3558, 0.6343, 0.3558, 8146,
32, 4,6421, 3480, 0.6421, 0.348, 7658,
33, 4,6502, 3399, 0.6502, 0.3399, 7128,
34, 4,6583, 3318, 0.6583, 0.3318, 4651,
35, 4,6653, 3248, 0.6653, 0.3248, 6026,
36, 4,6731, 3170, 0.6731, 0.317, 12288,
37, 4,6799, 3102, 0.6799, 0.3102, 3997,
38, 4,6864, 3037, 0.6864, 0.3037, 6331,
39, 4,6937, 2964, 0.6937, 0.2964, 10028,
40, 4,7012, 2889, 0.7012, 0.2889, 4018,
41, 4,7074, 2827, 0.7074, 0.2827, 10179,
42, 4,7136, 2765, 0.7136, 0.2765, 10299,
43, 4,7195, 2706, 0.7195, 0.2706, 6169,
44, 4,7258, 2643, 0.7258, 0.2643, 8013,
45, 4,7321, 2580, 0.7321, 0.258, 4000,
46, 4,7366, 2535, 0.7366, 0.2535, 8610,
47, 4,7422, 2479, 0.7422, 0.2479, 9697,
48, 4,7491, 2410, 0.7491, 0.241, 4517,
49, 4,7553, 2348, 0.7553, 0.2348, 9600,
