size, hits, misses, hitRatio, missRatio, executionTime, 
3, 4023, 5878, 0.4023, 0.5878, 20051, 
4, 4738, 5163, 0.4738, 0.5163, 7987, 
5, 5262, 4639, 0.5262, 0.4639, 12001, 
6, 5680, 4221, 0.568, 0.4221, 3996, 
7, 5998, 3903, 0.5998, 0.3903, 7994, 
8, 6299, 3602, 0.6299, 0.3602, 7985, 
9, 6521, 3380, 0.6521, 0.338, 3991, 
10, 6684, 3217, 0.6684, 0.3217, 8005, 
11, 6848, 3053, 0.6848, 0.3053, 7997, 
12, 6991, 2910, 0.6991, 0.291, 3998, 
13, 7119, 2782, 0.7119, 0.2782, 8080, 
14, 7234, 2667, 0.7234, 0.2667, 7941, 
15, 7350, 2551, 0.735, 0.2551, 3999, 
16, 7462, 2439, 0.7462, 0.2439, 4000, 
17, 7559, 2342, 0.7559, 0.2342, 7987, 
18, 7644, 2257, 0.7644, 0.2257, 4001, 
19, 7715, 2186, 0.7715, 0.2186, 7999, 
20, 7793, 2108, 0.7793, 0.2108, 4001, 
21, 7866, 2035, 0.7866, 0.2035, 7999, 
22, 7942, 1959, 0.7942, 0.1959, 4002, 
23, 8002, 1899, 0.8002, 0.1899, 7999, 
24, 8061, 1840, 0.8061, 0.184, 4001, 
25, 8128, 1773, 0.8128, 0.1773, 7999, 
26, 8178, 1723, 0.8178, 0.1723, 8000, 
27, 8245, 1656, 0.8245, 0.1656, 4000, 
28, 8306, 1595, 0.8306, 0.1595, 8003, 
29, 8357, 1544, 0.8357, 0.1544, 7978, 
30, 8411, 1490, 0.8411, 0.149, 3998, 
31, 8454, 1447, 0.8454, 0.1447, 7968, 
32, 8490, 1411, 0.849, 0.1411, 4000, 
33, 8534, 1367, 0.8534, 0.1367, 4000, 
34, 8570, 1331, 0.857, 0.1331, 3998, 
35, 8608, 1293, 0.8608, 0.1293, 8001, 
36, 8642, 1259, 0.8642, 0.1259, 3999, 
37, 8685, 1216, 0.8685, 0.1216, 4001, 
38, 8726, 1175, 0.8726, 0.1175, 4000, 
39, 8765, 1136, 0.8765, 0.1136, 7999, 
40, 8797, 1104, 0.8797, 0.1104, 4000, 
41, 8821, 1080, 0.8821, 0.108, 4001, 
42, 8858, 1043, 0.8858, 0.1043, 3999, 
43, 8901, 1000, 0.8901, 0.1, 8000, 
44, 8930, 971, 0.893, 0.0971, 4000, 
45, 8956, 945, 0.8956, 0.0945, 4001, 
46, 8974, 927, 0.8974, 0.0927, 3999, 
47, 9008, 893, 0.9008, 0.0893, 8219, 
48, 9029, 872, 0.9029, 0.0872, 3935, 
49, 9054, 847, 0.9054, 0.0847, 4005, 
