size, hits, misses, hitRatio, missRatio, executionTime,
3, 595, 9350, 0.0595, 0.935, 11009,
4, 798, 9147, 0.0798, 0.9147, 11007,
5, 976, 8969, 0.0976, 0.8969, 12992,
6, 1164, 8781, 0.1164, 0.8781, 12001,
7, 1355, 8590, 0.1355, 0.859, 11999,
8, 1514, 8431, 0.1514, 0.8431, 12000,
9, 1722, 8223, 0.1722, 0.8223, 13036,
10, 1884, 8061, 0.1884, 0.8061, 12002,
11, 2019, 7926, 0.2019, 0.7926, 11998,
12, 2206, 7739, 0.2206, 0.7739, 13002,
13, 2403, 7542, 0.2403, 0.7542, 12999,
14, 2533, 7412, 0.2533, 0.7412, 12000,
15, 2725, 7220, 0.2725, 0.722, 12995,
16, 2945, 7000, 0.2945, 0.7, 12970,
17, 3168, 6777, 0.3168, 0.6777, 12999,
18, 3360, 6585, 0.336, 0.6585, 12082,
19, 3517, 6428, 0.3517, 0.6428, 13001,
20, 3699, 6246, 0.3699, 0.6246, 13031,
21, 3888, 6057, 0.3888, 0.6057, 12969,
22, 4032, 5913, 0.4032, 0.5913, 12030,
23, 4235, 5710, 0.4235, 0.571, 12000,
24, 4357, 5588, 0.4357, 0.5588, 14007,
25, 4586, 5359, 0.4586, 0.5359, 12963,
26, 4782, 5163, 0.4782, 0.5163, 14032,
27, 4973, 4972, 0.4973, 0.4972, 11999,
28, 5069, 4876, 0.5069, 0.4876, 13000,
29, 5282, 4663, 0.5282, 0.4663, 12999,
30, 5452, 4493, 0.5452, 0.4493, 12972,
31, 5634, 4311, 0.5634, 0.4311, 13999,
32, 5846, 4099, 0.5846, 0.4099, 13038,
33, 6026, 3919, 0.6026, 0.3919, 14997,
34, 6226, 3719, 0.6226, 0.3719, 13967,
35, 6376, 3569, 0.6376, 0.3569, 13028,
36, 6624, 3321, 0.6624, 0.3321, 14005,
37, 6784, 3161, 0.6784, 0.3161, 12966,
38, 6918, 3027, 0.6918, 0.3027, 12977,
39, 7053, 2892, 0.7053, 0.2892, 13036,
40, 7326, 2619, 0.7326, 0.2619, 13000,
41, 7443, 2502, 0.7443, 0.2502, 14998,
42, 7625, 2320, 0.7625, 0.232, 12977,
43, 7859, 2086, 0.7859, 0.2086, 13025,
44, 7975, 1970, 0.7975, 0.197, 13963,
45, 8160, 1785, 0.816, 0.1785, 14036,
46, 8311, 1634, 0.8311, 0.1634, 13002,
47, 8539, 1406, 0.8539, 0.1406, 13974,
48, 8732, 1213, 0.8732, 0.1213, 13024,
49, 8845, 1100, 0.8845, 0.11, 14967,
