size, hits, misses, hitRatio, missRatio, executionTime,
3, 415, 9510, 0.0415, 0.951, 11997,
4, 549, 9376, 0.0549, 0.9376, 12007,
5, 670, 9255, 0.067, 0.9255, 12003,
6, 796, 9129, 0.0796, 0.9129, 12028,
7, 944, 8981, 0.0944, 0.8981, 12993,
8, 1067, 8858, 0.1067, 0.8858, 13969,
9, 1189, 8736, 0.1189, 0.8736, 12003,
10, 1307, 8618, 0.1307, 0.8618, 11000,
11, 1442, 8483, 0.1442, 0.8483, 10000,
12, 1583, 8342, 0.1583, 0.8342, 11000,
13, 1710, 8215, 0.171, 0.8215, 11001,
14, 1842, 8083, 0.1842, 0.8083, 9999,
15, 1978, 7947, 0.1978, 0.7947, 11000,
16, 2103, 7822, 0.2103, 0.7822, 11001,
17, 2220, 7705, 0.222, 0.7705, 12000,
18, 2349, 7576, 0.2349, 0.7576, 9999,
19, 2470, 7455, 0.247, 0.7455, 10009,
20, 2600, 7325, 0.26, 0.7325, 9991,
21, 2721, 7204, 0.2721, 0.7204, 11000,
22, 2867, 7058, 0.2867, 0.7058, 10000,
23, 3024, 6901, 0.3024, 0.6901, 11001,
24, 3147, 6778, 0.3147, 0.6778, 8999,
25, 3304, 6621, 0.3304, 0.6621, 10000,
26, 3433, 6492, 0.3433, 0.6492, 10000,
27, 3569, 6356, 0.3569, 0.6356, 10000,
28, 3712, 6213, 0.3712, 0.6213, 10008,
29, 3817, 6108, 0.3817, 0.6108, 8978,
30, 3957, 5968, 0.3957, 0.5968, 9000,
31, 4085, 5840, 0.4085, 0.584, 10000,
32, 4235, 5690, 0.4235, 0.569, 11033,
33, 4398, 5527, 0.4398, 0.5527, 10972,
34, 4514, 5411, 0.4514, 0.5411, 9001,
35, 4651, 5274, 0.4651, 0.5274, 9028,
36, 4788, 5137, 0.4788, 0.5137, 10003,
37, 4939, 4986, 0.4939, 0.4986, 9000,
38, 5081, 4844, 0.5081, 0.4844, 8964,
39, 5188, 4737, 0.5188, 0.4737, 8035,
40, 5309, 4616, 0.5309, 0.4616, 8965,
41, 5447, 4478, 0.5447, 0.4478, 10010,
42, 5571, 4354, 0.5571, 0.4354, 9019,
43, 5703, 4222, 0.5703, 0.4222, 7975,
44, 5858, 4067, 0.5858, 0.4067, 9033,
45, 5983, 3942, 0.5983, 0.3942, 9997,
46, 6117, 3808, 0.6117, 0.3808, 8001,
47, 6248, 3677, 0.6248, 0.3677, 7999,
48, 6367, 3558, 0.6367, 0.3558, 7965,
49, 6484, 3441, 0.6484, 0.3441, 8035,
