size, Fall Factor,hits, misses, hitRatio, missRatio, executionTime,
3, 0.9,531, 9414, 0.0531, 0.9414, 12903,
4, 0.9,724, 9221, 0.0724, 0.9221, 11000,
5, 0.9,905, 9040, 0.0905, 0.904, 11000,
6, 0.9,1080, 8865, 0.108, 0.8865, 12999,
7, 0.9,1240, 8705, 0.124, 0.8705, 11028,
8, 0.9,1427, 8518, 0.1427, 0.8518, 11973,
9, 0.9,1624, 8321, 0.1624, 0.8321, 11033,
10, 0.9,1783, 8162, 0.1783, 0.8162, 10978,
11, 0.9,1972, 7973, 0.1972, 0.7973, 10983,
12, 0.9,2146, 7799, 0.2146, 0.7799, 11474,
13, 0.9,2325, 7620, 0.2325, 0.762, 10999,
14, 0.9,2494, 7451, 0.2494, 0.7451, 10993,
15, 0.9,2678, 7267, 0.2678, 0.7267, 10978,
16, 0.9,2856, 7089, 0.2856, 0.7089, 10010,
17, 0.9,3056, 6889, 0.3056, 0.6889, 11020,
18, 0.9,3234, 6711, 0.3234, 0.6711, 13002,
19, 0.9,3430, 6515, 0.343, 0.6515, 10002,
20, 0.9,3586, 6359, 0.3586, 0.6359, 10996,
21, 0.9,3744, 6201, 0.3744, 0.6201, 11027,
22, 0.9,3928, 6017, 0.3928, 0.6017, 11000,
23, 0.9,4111, 5834, 0.4111, 0.5834, 10001,
24, 0.9,4313, 5632, 0.4313, 0.5632, 10997,
25, 0.9,4514, 5431, 0.4514, 0.5431, 11026,
26, 0.9,4664, 5281, 0.4664, 0.5281, 10000,
27, 0.9,4854, 5091, 0.4854, 0.5091, 11001,
28, 0.9,5068, 4877, 0.5068, 0.4877, 9999,
29, 0.9,5254, 4691, 0.5254, 0.4691, 11018,
30, 0.9,5425, 4520, 0.5425, 0.452, 10027,
31, 0.9,5604, 4341, 0.5604, 0.4341, 10000,
32, 0.9,5778, 4167, 0.5778, 0.4167, 10001,
33, 0.9,5943, 4002, 0.5943, 0.4002, 10997,
34, 0.9,6145, 3800, 0.6145, 0.38, 13039,
35, 0.9,6321, 3624, 0.6321, 0.3624, 9996,
36, 0.9,6505, 3440, 0.6505, 0.344, 9997,
37, 0.9,6677, 3268, 0.6677, 0.3268, 9005,
38, 0.9,6867, 3078, 0.6867, 0.3078, 9965,
39, 0.9,7062, 2883, 0.7062, 0.2883, 10033,
40, 0.9,7253, 2692, 0.7253, 0.2692, 9008,
41, 0.9,7457, 2488, 0.7457, 0.2488, 9034,
42, 0.9,7604, 2341, 0.7604, 0.2341, 8965,
43, 0.9,7802, 2143, 0.7802, 0.2143, 8034,
44, 0.9,7988, 1957, 0.7988, 0.1957, 10003,
45, 0.9,8181, 1764, 0.8181, 0.1764, 7995,
46, 0.9,8359, 1586, 0.8359, 0.1586, 9005,
47, 0.9,8554, 1391, 0.8554, 0.1391, 7994,
48, 0.9,8745, 1200, 0.8745, 0.12, 9003,
49, 0.9,8896, 1049, 0.8896, 0.1049, 7985,
