size, Fall Factor,hits, misses, hitRatio, missRatio, executionTime,
3, 0.9,2027, 7874, 0.2027, 0.7874, 12000,
4, 0.9,2316, 7585, 0.2316, 0.7585, 7997,
5, 0.9,2562, 7339, 0.2562, 0.7339, 12415,
6, 0.9,2781, 7120, 0.2781, 0.712, 11679,
7, 0.9,2974, 6927, 0.2974, 0.6927, 7966,
8, 0.9,3169, 6732, 0.3169, 0.6732, 11970,
9, 0.9,3348, 6553, 0.3348, 0.6553, 8032,
10, 0.9,3524, 6377, 0.3524, 0.6377, 11998,
11, 0.9,3715, 6186, 0.3715, 0.6186, 8009,
12, 0.9,3844, 6057, 0.3844, 0.6057, 11962,
13, 0.9,3994, 5907, 0.3994, 0.5907, 8033,
14, 0.9,4125, 5776, 0.4125, 0.5776, 8090,
15, 0.9,4240, 5661, 0.424, 0.5661, 12029,
16, 0.9,4371, 5530, 0.4371, 0.553, 8003,
17, 0.9,4481, 5420, 0.4481, 0.542, 9093,
18, 0.9,4594, 5307, 0.4594, 0.5307, 7981,
19, 0.9,4722, 5179, 0.4722, 0.5179, 7997,
20, 0.9,4839, 5062, 0.4839, 0.5062, 8011,
21, 0.9,4942, 4959, 0.4942, 0.4959, 11990,
22, 0.9,5051, 4850, 0.5051, 0.485, 7976,
23, 0.9,5146, 4755, 0.5146, 0.4755, 8025,
24, 0.9,5233, 4668, 0.5233, 0.4668, 7998,
25, 0.9,5342, 4559, 0.5342, 0.4559, 12000,
26, 0.9,5451, 4450, 0.5451, 0.445, 8002,
27, 0.9,5548, 4353, 0.5548, 0.4353, 11090,
28, 0.9,5627, 4274, 0.5627, 0.4274, 7958,
29, 0.9,5723, 4178, 0.5723, 0.4178, 12034,
30, 0.9,5808, 4093, 0.5808, 0.4093, 8002,
31, 0.9,5903, 3998, 0.5903, 0.3998, 12013,
32, 0.9,5985, 3916, 0.5985, 0.3916, 7986,
33, 0.9,6071, 3830, 0.6071, 0.383, 8002,
34, 0.9,6143, 3758, 0.6143, 0.3758, 11997,
35, 0.9,6215, 3686, 0.6215, 0.3686, 7973,
36, 0.9,6301, 3600, 0.6301, 0.36, 11998,
37, 0.9,6396, 3505, 0.6396, 0.3505, 12309,
38, 0.9,6477, 3424, 0.6477, 0.3424, 7993,
39, 0.9,6555, 3346, 0.6555, 0.3346, 12622,
40, 0.9,6627, 3274, 0.6627, 0.3274, 7991,
41, 0.9,6701, 3200, 0.6701, 0.32, 11966,
42, 0.9,6773, 3128, 0.6773, 0.3128, 8037,
43, 0.9,6830, 3071, 0.683, 0.3071, 11964,
44, 0.9,6895, 3006, 0.6895, 0.3006, 7999,
45, 0.9,6964, 2937, 0.6964, 0.2937, 12001,
46, 0.9,7032, 2869, 0.7032, 0.2869, 8000,
47, 0.9,7080, 2821, 0.708, 0.2821, 15527,
48, 0.9,7144, 2757, 0.7144, 0.2757, 8000,
49, 0.9,7219, 2682, 0.7219, 0.2682, 12034,
