size, hits, misses, hitRatio, missRatio, executionTime, 
3, 542, 9403, 0.0542, 0.9403, 11987, 
4, 733, 9212, 0.0733, 0.9212, 10999, 
5, 901, 9044, 0.0901, 0.9044, 9999, 
6, 1073, 8872, 0.1073, 0.8872, 11965, 
7, 1286, 8659, 0.1286, 0.8659, 10000, 
8, 1465, 8480, 0.1465, 0.848, 10031, 
9, 1662, 8283, 0.1662, 0.8283, 10971, 
10, 1892, 8053, 0.1892, 0.8053, 10031, 
11, 2071, 7874, 0.2071, 0.7874, 9969, 
12, 2232, 7713, 0.2232, 0.7713, 11030, 
13, 2414, 7531, 0.2414, 0.7531, 9998, 
14, 2596, 7349, 0.2596, 0.7349, 8999, 
15, 2761, 7184, 0.2761, 0.7184, 8999, 
16, 2968, 6977, 0.2968, 0.6977, 9995, 
17, 3170, 6775, 0.317, 0.6775, 10008, 
18, 3353, 6592, 0.3353, 0.6592, 8969, 
19, 3534, 6411, 0.3534, 0.6411, 9035, 
20, 3729, 6216, 0.3729, 0.6216, 8999, 
21, 3900, 6045, 0.39, 0.6045, 9990, 
22, 4077, 5868, 0.4077, 0.5868, 8974, 
23, 4265, 5680, 0.4265, 0.568, 9002, 
24, 4442, 5503, 0.4442, 0.5503, 9000, 
25, 4613, 5332, 0.4613, 0.5332, 8033, 
26, 4805, 5140, 0.4805, 0.514, 8969, 
27, 5004, 4941, 0.5004, 0.4941, 8033, 
28, 5179, 4766, 0.5179, 0.4766, 7972, 
29, 5365, 4580, 0.5365, 0.458, 7026, 
30, 5548, 4397, 0.5548, 0.4397, 9970, 
31, 5740, 4205, 0.574, 0.4205, 7032, 
32, 5918, 4027, 0.5918, 0.4027, 8987, 
33, 6099, 3846, 0.6099, 0.3846, 6996, 
34, 6277, 3668, 0.6277, 0.3668, 7982, 
35, 6437, 3508, 0.6437, 0.3508, 7033, 
36, 6599, 3346, 0.6599, 0.3346, 7008, 
37, 6776, 3169, 0.6776, 0.3169, 8961, 
38, 6948, 2997, 0.6948, 0.2997, 6034, 
39, 7122, 2823, 0.7122, 0.2823, 7966, 
40, 7292, 2653, 0.7292, 0.2653, 7037, 
41, 7468, 2477, 0.7468, 0.2477, 6990, 
42, 7640, 2305, 0.764, 0.2305, 6009, 
43, 7834, 2111, 0.7834, 0.2111, 6992, 
44, 8004, 1941, 0.8004, 0.1941, 7002, 
45, 8168, 1777, 0.8168, 0.1777, 6004, 
46, 8352, 1593, 0.8352, 0.1593, 5999, 
47, 8530, 1415, 0.853, 0.1415, 6003, 
48, 8722, 1223, 0.8722, 0.1223, 5997, 
49, 8915, 1030, 0.8915, 0.103, 6003, 
