size, window,hits, misses, hitRatio, missRatio, executionTime,
3, 4,4023, 5878, 0.4023, 0.5878, 7896,
4, 4,4738, 5163, 0.4738, 0.5163, 10510,
5, 4,5262, 4639, 0.5262, 0.4639, 7076,
6, 4,5680, 4221, 0.568, 0.4221, 8021,
7, 4,5998, 3903, 0.5998, 0.3903, 3980,
8, 4,6299, 3602, 0.6299, 0.3602, 7999,
9, 4,6521, 3380, 0.6521, 0.338, 8034,
10, 4,6684, 3217, 0.6684, 0.3217, 8001,
11, 4,6848, 3053, 0.6848, 0.3053, 11968,
12, 4,6991, 2910, 0.6991, 0.291, 4002,
13, 4,7119, 2782, 0.7119, 0.2782, 8003,
14, 4,7234, 2667, 0.7234, 0.2667, 7996,
15, 4,7350, 2551, 0.735, 0.2551, 3999,
16, 4,7462, 2439, 0.7462, 0.2439, 7999,
17, 4,7559, 2342, 0.7559, 0.2342, 9078,
18, 4,7644, 2257, 0.7644, 0.2257, 3071,
19, 4,7715, 2186, 0.7715, 0.2186, 7945,
20, 4,7793, 2108, 0.7793, 0.2108, 4002,
21, 4,7866, 2035, 0.7866, 0.2035, 8026,
22, 4,7942, 1959, 0.7942, 0.1959, 4001,
23, 4,8002, 1899, 0.8002, 0.1899, 8004,
24, 4,8061, 1840, 0.8061, 0.184, 3995,
25, 4,8128, 1773, 0.8128, 0.1773, 8006,
26, 4,8178, 1723, 0.8178, 0.1723, 3965,
27, 4,8245, 1656, 0.8245, 0.1656, 7999,
28, 4,8306, 1595, 0.8306, 0.1595, 8036,
29, 4,8357, 1544, 0.8357, 0.1544, 3997,
30, 4,8411, 1490, 0.8411, 0.149, 8010,
31, 4,8454, 1447, 0.8454, 0.1447, 3993,
32, 4,8490, 1411, 0.849, 0.1411, 8000,
33, 4,8534, 1367, 0.8534, 0.1367, 4001,
34, 4,8570, 1331, 0.857, 0.1331, 8000,
35, 4,8608, 1293, 0.8608, 0.1293, 4000,
36, 4,8642, 1259, 0.8642, 0.1259, 7965,
37, 4,8685, 1216, 0.8685, 0.1216, 3998,
38, 4,8726, 1175, 0.8726, 0.1175, 8000,
39, 4,8765, 1136, 0.8765, 0.1136, 4000,
40, 4,8797, 1104, 0.8797, 0.1104, 4000,
41, 4,8821, 1080, 0.8821, 0.108, 4002,
42, 4,8858, 1043, 0.8858, 0.1043, 7998,
43, 4,8901, 1000, 0.8901, 0.1, 4003,
44, 4,8930, 971, 0.893, 0.0971, 3997,
45, 4,8956, 945, 0.8956, 0.0945, 7999,
46, 4,8974, 927, 0.8974, 0.0927, 4001,
47, 4,9008, 893, 0.9008, 0.0893, 4000,
48, 4,9029, 872, 0.9029, 0.0872, 7999,
49, 4,9054, 847, 0.9054, 0.0847, 4001,
