size, hits, misses, hitRatio, missRatio, executionTime, 
3, 531, 9414, 0.0531, 0.9414, 11975, 
4, 709, 9236, 0.0709, 0.9236, 11036, 
5, 904, 9041, 0.0904, 0.9041, 10964, 
6, 1095, 8850, 0.1095, 0.885, 11035, 
7, 1245, 8700, 0.1245, 0.87, 10999, 
8, 1413, 8532, 0.1413, 0.8532, 10003, 
9, 1597, 8348, 0.1597, 0.8348, 10964, 
10, 1768, 8177, 0.1768, 0.8177, 11034, 
11, 1952, 7993, 0.1952, 0.7993, 11001, 
12, 2125, 7820, 0.2125, 0.782, 10000, 
13, 2291, 7654, 0.2291, 0.7654, 9964, 
14, 2481, 7464, 0.2481, 0.7464, 9038, 
15, 2647, 7298, 0.2647, 0.7298, 9960, 
16, 2840, 7105, 0.284, 0.7105, 9035, 
17, 3047, 6898, 0.3047, 0.6898, 9000, 
18, 3219, 6726, 0.3219, 0.6726, 8996, 
19, 3431, 6514, 0.3431, 0.6514, 9004, 
20, 3611, 6334, 0.3611, 0.6334, 9006, 
21, 3769, 6176, 0.3769, 0.6176, 8995, 
22, 3924, 6021, 0.3924, 0.6021, 7993, 
23, 4109, 5836, 0.4109, 0.5836, 9009, 
24, 4298, 5647, 0.4298, 0.5647, 8998, 
25, 4494, 5451, 0.4494, 0.5451, 9000, 
26, 4659, 5286, 0.4659, 0.5286, 8000, 
27, 4872, 5073, 0.4872, 0.5073, 8000, 
28, 5083, 4862, 0.5083, 0.4862, 7930, 
29, 5262, 4683, 0.5262, 0.4683, 8993, 
30, 5425, 4520, 0.5425, 0.452, 8038, 
31, 5599, 4346, 0.5599, 0.4346, 7960, 
32, 5761, 4184, 0.5761, 0.4184, 8000, 
33, 5942, 4003, 0.5942, 0.4003, 8039, 
34, 6127, 3818, 0.6127, 0.3818, 7963, 
35, 6316, 3629, 0.6316, 0.3629, 7036, 
36, 6489, 3456, 0.6489, 0.3456, 8005, 
37, 6668, 3277, 0.6668, 0.3277, 8999, 
38, 6871, 3074, 0.6871, 0.3074, 8967, 
39, 7059, 2886, 0.7059, 0.2886, 8992, 
40, 7252, 2693, 0.7252, 0.2693, 5999, 
41, 7453, 2492, 0.7453, 0.2492, 9001, 
42, 7604, 2341, 0.7604, 0.2341, 6000, 
43, 7792, 2153, 0.7792, 0.2153, 8039, 
44, 7992, 1953, 0.7992, 0.1953, 6004, 
45, 8187, 1758, 0.8187, 0.1758, 6001, 
46, 8360, 1585, 0.836, 0.1585, 8000, 
47, 8560, 1385, 0.856, 0.1385, 5998, 
48, 8743, 1202, 0.8743, 0.1202, 6000, 
49, 8898, 1047, 0.8898, 0.1047, 6000, 
