size, hits, misses, hitRatio, missRatio, executionTime, 
3, 676, 9282, 0.0676, 0.9282, 10997, 
4, 908, 9050, 0.0908, 0.905, 12001, 
5, 1135, 8823, 0.1135, 0.8823, 9508, 
6, 1365, 8593, 0.1365, 0.8593, 11035, 
7, 1570, 8388, 0.157, 0.8388, 9968, 
8, 1805, 8153, 0.1805, 0.8153, 9998, 
9, 2045, 7913, 0.2045, 0.7913, 10002, 
10, 2267, 7691, 0.2267, 0.7691, 8999, 
11, 2502, 7456, 0.2502, 0.7456, 9998, 
12, 2744, 7214, 0.2744, 0.7214, 9001, 
13, 3010, 6948, 0.301, 0.6948, 10017, 
14, 3267, 6691, 0.3267, 0.6691, 9004, 
15, 3502, 6456, 0.3502, 0.6456, 7997, 
16, 3758, 6200, 0.3758, 0.62, 9969, 
17, 3994, 5964, 0.3994, 0.5964, 9029, 
18, 4212, 5746, 0.4212, 0.5746, 8968, 
19, 4471, 5487, 0.4471, 0.5487, 10034, 
20, 4716, 5242, 0.4716, 0.5242, 7965, 
21, 4973, 4985, 0.4973, 0.4985, 8036, 
22, 5199, 4759, 0.5199, 0.4759, 7002, 
23, 5419, 4539, 0.5419, 0.4539, 7998, 
24, 5661, 4297, 0.5661, 0.4297, 6968, 
25, 5951, 4007, 0.5951, 0.4007, 7017, 
26, 6166, 3792, 0.6166, 0.3792, 8001, 
27, 6386, 3572, 0.6386, 0.3572, 7984, 
28, 6629, 3329, 0.6629, 0.3329, 6945, 
29, 6845, 3113, 0.6845, 0.3113, 7999, 
30, 7075, 2883, 0.7075, 0.2883, 6000, 
31, 7274, 2684, 0.7274, 0.2684, 7000, 
32, 7541, 2417, 0.7541, 0.2417, 6000, 
33, 7782, 2176, 0.7782, 0.2176, 6000, 
34, 8018, 1940, 0.8018, 0.194, 6000, 
35, 8296, 1662, 0.8296, 0.1662, 6000, 
36, 8543, 1415, 0.8543, 0.1415, 7000, 
37, 8778, 1180, 0.8778, 0.118, 5000, 
38, 9026, 932, 0.9026, 0.0932, 5000, 
39, 9248, 710, 0.9248, 0.071, 6004, 
40, 9497, 461, 0.9497, 0.0461, 4996, 
41, 9728, 230, 0.9728, 0.023, 5000, 
42, 9958, 0, 0.9958, 0, 5000, 
43, 9958, 0, 0.9958, 0, 5018, 
44, 9958, 0, 0.9958, 0, 5018, 
45, 9958, 0, 0.9958, 0, 3999, 
46, 9958, 0, 0.9958, 0, 5003, 
47, 9958, 0, 0.9958, 0, 4996, 
48, 9958, 0, 0.9958, 0, 5001, 
49, 9958, 0, 0.9958, 0, 5968, 
