size, hits, misses, hitRatio, missRatio, executionTime,
3, 551, 9394, 0.0551, 0.9394, 13978,
4, 722, 9223, 0.0722, 0.9223, 12997,
5, 908, 9037, 0.0908, 0.9037, 10995,
6, 1076, 8869, 0.1076, 0.8869, 14002,
7, 1274, 8671, 0.1274, 0.8671, 15009,
8, 1446, 8499, 0.1446, 0.8499, 12018,
9, 1637, 8308, 0.1637, 0.8308, 11976,
10, 1861, 8084, 0.1861, 0.8084, 12026,
11, 2054, 7891, 0.2054, 0.7891, 10974,
12, 2248, 7697, 0.2248, 0.7697, 11997,
13, 2420, 7525, 0.242, 0.7525, 11998,
14, 2604, 7341, 0.2604, 0.7341, 12001,
15, 2794, 7151, 0.2794, 0.7151, 13002,
16, 2986, 6959, 0.2986, 0.6959, 13998,
17, 3179, 6766, 0.3179, 0.6766, 10000,
18, 3373, 6572, 0.3373, 0.6572, 11003,
19, 3557, 6388, 0.3557, 0.6388, 12997,
20, 3735, 6210, 0.3735, 0.621, 11001,
21, 3900, 6045, 0.39, 0.6045, 9998,
22, 4061, 5884, 0.4061, 0.5884, 10001,
23, 4243, 5702, 0.4243, 0.5702, 9997,
24, 4441, 5504, 0.4441, 0.5504, 10002,
25, 4608, 5337, 0.4608, 0.5337, 9000,
26, 4835, 5110, 0.4835, 0.511, 8999,
27, 4991, 4954, 0.4991, 0.4954, 8999,
28, 5192, 4753, 0.5192, 0.4753, 8000,
29, 5333, 4612, 0.5333, 0.4612, 8002,
30, 5505, 4440, 0.5505, 0.444, 7998,
31, 5695, 4250, 0.5695, 0.425, 7000,
32, 5848, 4097, 0.5848, 0.4097, 8000,
33, 6055, 3890, 0.6055, 0.389, 7002,
34, 6242, 3703, 0.6242, 0.3703, 9029,
35, 6382, 3563, 0.6382, 0.3563, 7971,
36, 6557, 3388, 0.6557, 0.3388, 9015,
37, 6748, 3197, 0.6748, 0.3197, 8022,
38, 6916, 3029, 0.6916, 0.3029, 7002,
39, 7119, 2826, 0.7119, 0.2826, 6993,
40, 7315, 2630, 0.7315, 0.263, 6003,
41, 7481, 2464, 0.7481, 0.2464, 8000,
42, 7665, 2280, 0.7665, 0.228, 7001,
43, 7768, 2177, 0.7768, 0.2177, 6999,
44, 7986, 1959, 0.7986, 0.1959, 6002,
45, 8172, 1773, 0.8172, 0.1773, 6964,
46, 8352, 1593, 0.8352, 0.1593, 7032,
47, 8520, 1425, 0.852, 0.1425, 6021,
48, 8708, 1237, 0.8708, 0.1237, 5997,
49, 8913, 1032, 0.8913, 0.1032, 6002,
