size, window,hits, misses, hitRatio, missRatio, executionTime,
3, 4,7312, 2601, 0.7312, 0.2601, 18145,
4, 4,7885, 2028, 0.7885, 0.2028, 11906,
5, 4,8274, 1639, 0.8274, 0.1639, 4026,
6, 4,8561, 1352, 0.8561, 0.1352, 7970,
7, 4,8744, 1169, 0.8744, 0.1169, 3996,
8, 4,8901, 1012, 0.8901, 0.1012, 7998,
9, 4,9026, 887, 0.9026, 0.0887, 4001,
10, 4,9126, 787, 0.9126, 0.0787, 4004,
11, 4,9215, 698, 0.9215, 0.0698, 5640,
12, 4,9286, 627, 0.9286, 0.0627, 7998,
13, 4,9339, 574, 0.9339, 0.0574, 3972,
14, 4,9388, 525, 0.9388, 0.0525, 8027,
15, 4,9424, 489, 0.9424, 0.0489, 7999,
16, 4,9463, 450, 0.9463, 0.045, 7996,
17, 4,9498, 415, 0.9498, 0.0415, 4010,
18, 4,9531, 382, 0.9531, 0.0382, 3999,
19, 4,9560, 353, 0.956, 0.0353, 7968,
20, 4,9586, 327, 0.9586, 0.0327, 4004,
21, 4,9615, 298, 0.9615, 0.0298, 3995,
22, 4,9628, 285, 0.9628, 0.0285, 7997,
23, 4,9650, 263, 0.965, 0.0263, 4022,
24, 4,9668, 245, 0.9668, 0.0245, 3979,
25, 4,9681, 232, 0.9681, 0.0232, 3999,
26, 4,9691, 222, 0.9691, 0.0222, 4003,
27, 4,9702, 211, 0.9702, 0.0211, 4005,
28, 4,9716, 197, 0.9716, 0.0197, 3986,
29, 4,9733, 180, 0.9733, 0.018, 5670,
30, 4,9740, 173, 0.974, 0.0173, 2577,
31, 4,9755, 158, 0.9755, 0.0158, 8006,
32, 4,9764, 149, 0.9764, 0.0149, 3991,
33, 4,9778, 135, 0.9778, 0.0135, 4002,
34, 4,9785, 128, 0.9785, 0.0128, 3999,
35, 4,9787, 126, 0.9787, 0.0126, 4001,
36, 4,9793, 120, 0.9793, 0.012, 7969,
37, 4,9797, 116, 0.9797, 0.0116, 4025,
38, 4,9807, 106, 0.9807, 0.0106, 3973,
39, 4,9813, 100, 0.9813, 0.01, 4000,
40, 4,9820, 93, 0.982, 0.0093, 4029,
41, 4,9822, 91, 0.9822, 0.0091, 3969,
42, 4,9826, 87, 0.9826, 0.0087, 8001,
43, 4,9833, 80, 0.9833, 0.008, 3998,
44, 4,9836, 77, 0.9836, 0.0077, 4036,
45, 4,9839, 74, 0.9839, 0.0074, 3967,
46, 4,9844, 69, 0.9844, 0.0069, 4027,
47, 4,9845, 68, 0.9845, 0.0068, 8019,
48, 4,9846, 67, 0.9846, 0.0067, 3983,
49, 4,9850, 63, 0.985, 0.0063, 3998,
