size, Fall Factor,hits, misses, hitRatio, missRatio, executionTime,
3, 0.9,5033, 4868, 0.5033, 0.4868, 8034,
4, 0.9,5432, 4469, 0.5432, 0.4469, 7994,
5, 0.9,5747, 4154, 0.5747, 0.4154, 8002,
6, 0.9,6013, 3888, 0.6013, 0.3888, 7999,
7, 0.9,6216, 3685, 0.6216, 0.3685, 7968,
8, 0.9,6438, 3463, 0.6438, 0.3463, 7999,
9, 0.9,6625, 3276, 0.6625, 0.3276, 4000,
10, 0.9,6783, 3118, 0.6783, 0.3118, 8003,
11, 0.9,6931, 2970, 0.6931, 0.297, 8048,
12, 0.9,7051, 2850, 0.7051, 0.285, 7994,
13, 0.9,7166, 2735, 0.7166, 0.2735, 8006,
14, 0.9,7272, 2629, 0.7272, 0.2629, 8001,
15, 0.9,7380, 2521, 0.738, 0.2521, 3996,
16, 0.9,7477, 2424, 0.7477, 0.2424, 8003,
17, 0.9,7573, 2328, 0.7573, 0.2328, 7993,
18, 0.9,7656, 2245, 0.7656, 0.2245, 4001,
19, 0.9,7723, 2178, 0.7723, 0.2178, 7999,
20, 0.9,7809, 2092, 0.7809, 0.2092, 8000,
21, 0.9,7877, 2024, 0.7877, 0.2024, 4001,
22, 0.9,7948, 1953, 0.7948, 0.1953, 8000,
23, 0.9,8009, 1892, 0.8009, 0.1892, 4000,
24, 0.9,8070, 1831, 0.807, 0.1831, 8001,
25, 0.9,8132, 1769, 0.8132, 0.1769, 7998,
26, 0.9,8189, 1712, 0.8189, 0.1712, 6200,
27, 0.9,8251, 1650, 0.8251, 0.165, 7935,
28, 0.9,8310, 1591, 0.831, 0.1591, 7996,
29, 0.9,8360, 1541, 0.836, 0.1541, 7971,
30, 0.9,8415, 1486, 0.8415, 0.1486, 7699,
31, 0.9,8452, 1449, 0.8452, 0.1449, 8000,
32, 0.9,8493, 1408, 0.8493, 0.1408, 3968,
33, 0.9,8539, 1362, 0.8539, 0.1362, 8032,
34, 0.9,8570, 1331, 0.857, 0.1331, 7997,
35, 0.9,8610, 1291, 0.861, 0.1291, 8003,
36, 0.9,8647, 1254, 0.8647, 0.1254, 8503,
37, 0.9,8686, 1215, 0.8686, 0.1215, 8013,
38, 0.9,8727, 1174, 0.8727, 0.1174, 4005,
39, 0.9,8765, 1136, 0.8765, 0.1136, 7999,
40, 0.9,8796, 1105, 0.8796, 0.1105, 7970,
41, 0.9,8822, 1079, 0.8822, 0.1079, 6221,
42, 0.9,8858, 1043, 0.8858, 0.1043, 11968,
43, 0.9,8902, 999, 0.8902, 0.0999, 8036,
44, 0.9,8931, 970, 0.8931, 0.097, 3994,
45, 0.9,8957, 944, 0.8957, 0.0944, 8000,
46, 0.9,8975, 926, 0.8975, 0.0926, 7994,
47, 0.9,9009, 892, 0.9009, 0.0892, 8006,
48, 0.9,9029, 872, 0.9029, 0.0872, 3966,
49, 0.9,9055, 846, 0.9055, 0.0846, 8033,
