size, window,hits, misses, hitRatio, missRatio, executionTime,
3, 4,542, 9403, 0.0542, 0.9403, 12036,
4, 4,733, 9212, 0.0733, 0.9212, 10965,
5, 4,901, 9044, 0.0901, 0.9044, 12034,
6, 4,1073, 8872, 0.1073, 0.8872, 10963,
7, 4,1286, 8659, 0.1286, 0.8659, 11003,
8, 4,1465, 8480, 0.1465, 0.848, 11034,
9, 4,1662, 8283, 0.1662, 0.8283, 11093,
10, 4,1892, 8053, 0.1892, 0.8053, 11000,
11, 4,2071, 7874, 0.2071, 0.7874, 9998,
12, 4,2232, 7713, 0.2232, 0.7713, 9994,
13, 4,2414, 7531, 0.2414, 0.7531, 10999,
14, 4,2596, 7349, 0.2596, 0.7349, 10000,
15, 4,2761, 7184, 0.2761, 0.7184, 9972,
16, 4,2968, 6977, 0.2968, 0.6977, 10034,
17, 4,3170, 6775, 0.317, 0.6775, 8997,
18, 4,3353, 6592, 0.3353, 0.6592, 10002,
19, 4,3534, 6411, 0.3534, 0.6411, 9851,
20, 4,3729, 6216, 0.3729, 0.6216, 10007,
21, 4,3900, 6045, 0.39, 0.6045, 10031,
22, 4,4077, 5868, 0.4077, 0.5868, 9997,
23, 4,4265, 5680, 0.4265, 0.568, 9003,
24, 4,4442, 5503, 0.4442, 0.5503, 8997,
25, 4,4613, 5332, 0.4613, 0.5332, 7965,
26, 4,4805, 5140, 0.4805, 0.514, 9001,
27, 4,5004, 4941, 0.5004, 0.4941, 9034,
28, 4,5179, 4766, 0.5179, 0.4766, 9001,
29, 4,5365, 4580, 0.5365, 0.458, 8002,
30, 4,5548, 4397, 0.5548, 0.4397, 9036,
31, 4,5740, 4205, 0.574, 0.4205, 8043,
32, 4,5918, 4027, 0.5918, 0.4027, 8026,
33, 4,6099, 3846, 0.6099, 0.3846, 8694,
34, 4,6277, 3668, 0.6277, 0.3668, 8028,
35, 4,6437, 3508, 0.6437, 0.3508, 7963,
36, 4,6599, 3346, 0.6599, 0.3346, 9003,
37, 4,6776, 3169, 0.6776, 0.3169, 7999,
38, 4,6948, 2997, 0.6948, 0.2997, 10034,
39, 4,7122, 2823, 0.7122, 0.2823, 7408,
40, 4,7292, 2653, 0.7292, 0.2653, 7974,
41, 4,7468, 2477, 0.7468, 0.2477, 7185,
42, 4,7640, 2305, 0.764, 0.2305, 7177,
43, 4,7834, 2111, 0.7834, 0.2111, 6971,
44, 4,8004, 1941, 0.8004, 0.1941, 6320,
45, 4,8168, 1777, 0.8168, 0.1777, 6998,
46, 4,8352, 1593, 0.8352, 0.1593, 6000,
47, 4,8530, 1415, 0.853, 0.1415, 7964,
48, 4,8722, 1223, 0.8722, 0.1223, 6033,
49, 4,8915, 1030, 0.8915, 0.103, 6008,
