size, hits, misses, hitRatio, missRatio, executionTime,
3, 7932, 1981, 0.7932, 0.1981, 11947,
4, 8400, 1513, 0.84, 0.1513, 7996,
5, 8772, 1141, 0.8772, 0.1141, 3998,
6, 8927, 986, 0.8927, 0.0986, 7658,
7, 9066, 847, 0.9066, 0.0847, 4000,
8, 9168, 745, 0.9168, 0.0745, 7994,
9, 9259, 654, 0.9259, 0.0654, 4005,
10, 9303, 610, 0.9303, 0.061, 8002,
11, 9398, 515, 0.9398, 0.0515, 8003,
12, 9456, 457, 0.9456, 0.0457, 4005,
13, 9500, 413, 0.95, 0.0413, 7961,
14, 9538, 375, 0.9538, 0.0375, 3998,
15, 9577, 336, 0.9577, 0.0336, 8562,
16, 9605, 308, 0.9605, 0.0308, 7957,
17, 9633, 280, 0.9633, 0.028, 4000,
18, 9661, 252, 0.9661, 0.0252, 8033,
19, 9682, 231, 0.9682, 0.0231, 7999,
20, 9701, 212, 0.9701, 0.0212, 4001,
21, 9706, 207, 0.9706, 0.0207, 7994,
22, 9714, 199, 0.9714, 0.0199, 8003,
23, 9721, 192, 0.9721, 0.0192, 3996,
24, 9738, 175, 0.9738, 0.0175, 8000,
25, 9753, 160, 0.9753, 0.016, 8002,
26, 9758, 155, 0.9758, 0.0155, 8000,
27, 9773, 140, 0.9773, 0.014, 7999,
28, 9785, 128, 0.9785, 0.0128, 7999,
29, 9790, 123, 0.979, 0.0123, 7986,
30, 9793, 120, 0.9793, 0.012, 7959,
31, 9795, 118, 0.9795, 0.0118, 7993,
32, 9796, 117, 0.9796, 0.0117, 8000,
33, 9804, 109, 0.9804, 0.0109, 7999,
34, 9809, 104, 0.9809, 0.0104, 7970,
35, 9811, 102, 0.9811, 0.0102, 8000,
36, 9813, 100, 0.9813, 0.01, 12000,
37, 9816, 97, 0.9816, 0.0097, 7999,
38, 9824, 89, 0.9824, 0.0089, 8000,
39, 9825, 88, 0.9825, 0.0088, 8000,
40, 9827, 86, 0.9827, 0.0086, 12000,
41, 9828, 85, 0.9828, 0.0085, 8571,
42, 9836, 77, 0.9836, 0.0077, 7936,
43, 9841, 72, 0.9841, 0.0072, 12002,
44, 9844, 69, 0.9844, 0.0069, 12002,
45, 9847, 66, 0.9847, 0.0066, 16001,
46, 9848, 65, 0.9848, 0.0065, 11999,
47, 9855, 58, 0.9855, 0.0058, 16001,
48, 9858, 55, 0.9858, 0.0055, 12000,
49, 9861, 52, 0.9861, 0.0052, 11704,
