size, Fall Factor,hits, misses, hitRatio, missRatio, executionTime,
3, 0.9,673, 9285, 0.0673, 0.9285, 12052,
4, 0.9,909, 9049, 0.0909, 0.9049, 10011,
5, 0.9,1139, 8819, 0.1139, 0.8819, 11957,
6, 0.9,1371, 8587, 0.1371, 0.8587, 10025,
7, 0.9,1592, 8366, 0.1592, 0.8366, 10971,
8, 0.9,1795, 8163, 0.1795, 0.8163, 13036,
9, 0.9,2033, 7925, 0.2033, 0.7925, 15999,
10, 0.9,2272, 7686, 0.2272, 0.7686, 10995,
11, 0.9,2511, 7447, 0.2511, 0.7447, 9971,
12, 0.9,2766, 7192, 0.2766, 0.7192, 11034,
13, 0.9,2997, 6961, 0.2997, 0.6961, 10998,
14, 0.9,3267, 6691, 0.3267, 0.6691, 10005,
15, 0.9,3498, 6460, 0.3498, 0.646, 10996,
16, 0.9,3760, 6198, 0.376, 0.6198, 11012,
17, 0.9,3975, 5983, 0.3975, 0.5983, 9991,
18, 0.9,4234, 5724, 0.4234, 0.5724, 9963,
19, 0.9,4465, 5493, 0.4465, 0.5493, 9035,
20, 0.9,4699, 5259, 0.4699, 0.5259, 11001,
21, 0.9,4951, 5007, 0.4951, 0.5007, 9999,
22, 0.9,5203, 4755, 0.5203, 0.4755, 10000,
23, 0.9,5418, 4540, 0.5418, 0.454, 9963,
24, 0.9,5680, 4278, 0.568, 0.4278, 8000,
25, 0.9,5938, 4020, 0.5938, 0.402, 10000,
26, 0.9,6173, 3785, 0.6173, 0.3785, 8032,
27, 0.9,6403, 3555, 0.6403, 0.3555, 9001,
28, 0.9,6620, 3338, 0.662, 0.3338, 8967,
29, 0.9,6848, 3110, 0.6848, 0.311, 8032,
30, 0.9,7061, 2897, 0.7061, 0.2897, 7966,
31, 0.9,7288, 2670, 0.7288, 0.267, 9029,
32, 0.9,7543, 2415, 0.7543, 0.2415, 9006,
33, 0.9,7784, 2174, 0.7784, 0.2174, 8993,
34, 0.9,8021, 1937, 0.8021, 0.1937, 10001,
35, 0.9,8287, 1671, 0.8287, 0.1671, 9005,
36, 0.9,8537, 1421, 0.8537, 0.1421, 9001,
37, 0.9,8768, 1190, 0.8768, 0.119, 7000,
38, 0.9,9023, 935, 0.9023, 0.0935, 7005,
39, 0.9,9244, 714, 0.9244, 0.0714, 6994,
40, 0.9,9497, 461, 0.9497, 0.0461, 7001,
41, 0.9,9729, 229, 0.9729, 0.0229, 8002,
42, 0.9,9958, 0, 0.9958, 0, 5997,
43, 0.9,9958, 0, 0.9958, 0, 7000,
44, 0.9,9958, 0, 0.9958, 0, 5999,
45, 0.9,9958, 0, 0.9958, 0, 6970,
46, 0.9,9958, 0, 0.9958, 0, 6998,
47, 0.9,9958, 0, 0.9958, 0, 6033,
48, 0.9,9958, 0, 0.9958, 0, 6996,
49, 0.9,9958, 0, 0.9958, 0, 8004,
