size, hits, misses, hitRatio, missRatio, executionTime,
3, 1764, 8137, 0.1764, 0.8137, 11936,
4, 2504, 7397, 0.2504, 0.7397, 7997,
5, 2727, 7174, 0.2727, 0.7174, 11997,
6, 2943, 6958, 0.2943, 0.6958, 8002,
7, 3167, 6734, 0.3167, 0.6734, 12021,
8, 3449, 6452, 0.3449, 0.6452, 7979,
9, 3705, 6196, 0.3705, 0.6196, 8017,
10, 3872, 6029, 0.3872, 0.6029, 12034,
11, 4037, 5864, 0.4037, 0.5864, 7968,
12, 4227, 5674, 0.4227, 0.5674, 8025,
13, 4384, 5517, 0.4384, 0.5517, 8001,
14, 4509, 5392, 0.4509, 0.5392, 7026,
15, 4643, 5258, 0.4643, 0.5258, 12012,
16, 4779, 5122, 0.4779, 0.5122, 8019,
17, 4884, 5017, 0.4884, 0.5017, 8006,
18, 5008, 4893, 0.5008, 0.4893, 7993,
19, 5134, 4767, 0.5134, 0.4767, 7999,
20, 5235, 4666, 0.5235, 0.4666, 8007,
21, 5345, 4556, 0.5345, 0.4556, 9138,
22, 5443, 4458, 0.5443, 0.4458, 7950,
23, 5574, 4327, 0.5574, 0.4327, 7999,
24, 5661, 4240, 0.5661, 0.424, 7994,
25, 5761, 4140, 0.5761, 0.414, 4000,
26, 5850, 4051, 0.585, 0.4051, 8002,
27, 5931, 3970, 0.5931, 0.397, 7998,
28, 6011, 3890, 0.6011, 0.389, 7999,
29, 6086, 3815, 0.6086, 0.3815, 8001,
30, 6162, 3739, 0.6162, 0.3739, 8009,
31, 6242, 3659, 0.6242, 0.3659, 7964,
32, 6329, 3572, 0.6329, 0.3572, 8038,
33, 6410, 3491, 0.641, 0.3491, 7996,
34, 6499, 3402, 0.6499, 0.3402, 4000,
35, 6569, 3332, 0.6569, 0.3332, 8066,
36, 6640, 3261, 0.664, 0.3261, 7971,
37, 6708, 3193, 0.6708, 0.3193, 7994,
38, 6765, 3136, 0.6765, 0.3136, 8007,
39, 6830, 3071, 0.683, 0.3071, 4000,
40, 6891, 3010, 0.6891, 0.301, 7966,
41, 6959, 2942, 0.6959, 0.2942, 12875,
42, 7023, 2878, 0.7023, 0.2878, 7966,
43, 7080, 2821, 0.708, 0.2821, 8007,
44, 7151, 2750, 0.7151, 0.275, 7995,
45, 7208, 2693, 0.7208, 0.2693, 8004,
46, 7261, 2640, 0.7261, 0.264, 7990,
47, 7312, 2589, 0.7312, 0.2589, 7047,
48, 7380, 2521, 0.738, 0.2521, 7961,
49, 7438, 2463, 0.7438, 0.2463, 8000,
