size, Fall Factor,hits, misses, hitRatio, missRatio, executionTime,
3, 0.9,2546, 7355, 0.2546, 0.7355, 11982,
4, 0.9,2867, 7034, 0.2867, 0.7034, 11995,
5, 0.9,3167, 6734, 0.3167, 0.6734, 7998,
6, 0.9,3416, 6485, 0.3416, 0.6485, 11996,
7, 0.9,3614, 6287, 0.3614, 0.6287, 8022,
8, 0.9,3791, 6110, 0.3791, 0.611, 11978,
9, 0.9,3965, 5936, 0.3965, 0.5936, 8036,
10, 0.9,4136, 5765, 0.4136, 0.5765, 12000,
11, 0.9,4320, 5581, 0.432, 0.5581, 8006,
12, 0.9,4484, 5417, 0.4484, 0.5417, 12247,
13, 0.9,4639, 5262, 0.4639, 0.5262, 7999,
14, 0.9,4779, 5122, 0.4779, 0.5122, 11967,
15, 0.9,4889, 5012, 0.4889, 0.5012, 7998,
16, 0.9,5003, 4898, 0.5003, 0.4898, 8000,
17, 0.9,5103, 4798, 0.5103, 0.4798, 12000,
18, 0.9,5203, 4698, 0.5203, 0.4698, 7999,
19, 0.9,5315, 4586, 0.5315, 0.4586, 8001,
20, 0.9,5415, 4486, 0.5415, 0.4486, 8001,
21, 0.9,5512, 4389, 0.5512, 0.4389, 11998,
22, 0.9,5622, 4279, 0.5622, 0.4279, 8001,
23, 0.9,5738, 4163, 0.5738, 0.4163, 8569,
24, 0.9,5829, 4072, 0.5829, 0.4072, 7937,
25, 0.9,5908, 3993, 0.5908, 0.3993, 8000,
26, 0.9,5991, 3910, 0.5991, 0.391, 12000,
27, 0.9,6047, 3854, 0.6047, 0.3854, 12004,
28, 0.9,6123, 3778, 0.6123, 0.3778, 7997,
29, 0.9,6206, 3695, 0.6206, 0.3695, 11999,
30, 0.9,6284, 3617, 0.6284, 0.3617, 8001,
31, 0.9,6356, 3545, 0.6356, 0.3545, 8000,
32, 0.9,6435, 3466, 0.6435, 0.3466, 7999,
33, 0.9,6507, 3394, 0.6507, 0.3394, 11755,
34, 0.9,6598, 3303, 0.6598, 0.3303, 7751,
35, 0.9,6666, 3235, 0.6666, 0.3235, 8000,
36, 0.9,6741, 3160, 0.6741, 0.316, 12004,
37, 0.9,6807, 3094, 0.6807, 0.3094, 7999,
38, 0.9,6873, 3028, 0.6873, 0.3028, 12008,
39, 0.9,6946, 2955, 0.6946, 0.2955, 11993,
40, 0.9,7016, 2885, 0.7016, 0.2885, 7996,
41, 0.9,7083, 2818, 0.7083, 0.2818, 8001,
42, 0.9,7138, 2763, 0.7138, 0.2763, 8000,
43, 0.9,7195, 2706, 0.7195, 0.2706, 12014,
44, 0.9,7258, 2643, 0.7258, 0.2643, 8529,
45, 0.9,7322, 2579, 0.7322, 0.2579, 7964,
46, 0.9,7370, 2531, 0.737, 0.2531, 8000,
47, 0.9,7422, 2479, 0.7422, 0.2479, 8029,
48, 0.9,7487, 2414, 0.7487, 0.2414, 12007,
49, 0.9,7558, 2343, 0.7558, 0.2343, 8000,
