size, hits, misses, hitRatio, missRatio, executionTime,
3, 672, 9286, 0.0672, 0.9286, 11019,
4, 906, 9052, 0.0906, 0.9052, 10009,
5, 1137, 8821, 0.1137, 0.8821, 10997,
6, 1373, 8585, 0.1373, 0.8585, 9994,
7, 1584, 8374, 0.1584, 0.8374, 10007,
8, 1817, 8141, 0.1817, 0.8141, 8996,
9, 2029, 7929, 0.2029, 0.7929, 11006,
10, 2256, 7702, 0.2256, 0.7702, 10002,
11, 2510, 7448, 0.251, 0.7448, 9993,
12, 2753, 7205, 0.2753, 0.7205, 10008,
13, 2992, 6966, 0.2992, 0.6966, 9955,
14, 3230, 6728, 0.323, 0.6728, 9042,
15, 3488, 6470, 0.3488, 0.647, 10001,
16, 3729, 6229, 0.3729, 0.6229, 8983,
17, 3972, 5986, 0.3972, 0.5986, 9012,
18, 4212, 5746, 0.4212, 0.5746, 7971,
19, 4437, 5521, 0.4437, 0.5521, 11002,
20, 4682, 5276, 0.4682, 0.5276, 9987,
21, 4923, 5035, 0.4923, 0.5035, 8000,
22, 5163, 4795, 0.5163, 0.4795, 8012,
23, 5415, 4543, 0.5415, 0.4543, 6999,
24, 5624, 4334, 0.5624, 0.4334, 8015,
25, 5879, 4079, 0.5879, 0.4079, 6985,
26, 6107, 3851, 0.6107, 0.3851, 7000,
27, 6357, 3601, 0.6357, 0.3601, 9002,
28, 6621, 3337, 0.6621, 0.3337, 5998,
29, 6824, 3134, 0.6824, 0.3134, 8035,
30, 7053, 2905, 0.7053, 0.2905, 6999,
31, 7310, 2648, 0.731, 0.2648, 5970,
32, 7522, 2436, 0.7522, 0.2436, 6034,
33, 7800, 2158, 0.78, 0.2158, 7009,
34, 8032, 1926, 0.8032, 0.1926, 7022,
35, 8259, 1699, 0.8259, 0.1699, 5000,
36, 8486, 1472, 0.8486, 0.1472, 8002,
37, 8706, 1252, 0.8706, 0.1252, 5000,
38, 8946, 1012, 0.8946, 0.1012, 5994,
39, 9187, 771, 0.9187, 0.0771, 6005,
40, 9435, 523, 0.9435, 0.0523, 4999,
41, 9681, 277, 0.9681, 0.0277, 5970,
42, 9958, 0, 0.9958, 0, 6001,
43, 9958, 0, 0.9958, 0, 5027,
44, 9958, 0, 0.9958, 0, 5004,
45, 9958, 0, 0.9958, 0, 5993,
46, 9958, 0, 0.9958, 0, 5967,
47, 9958, 0, 0.9958, 0, 5034,
48, 9958, 0, 0.9958, 0, 4965,
49, 9958, 0, 0.9958, 0, 4030,
