size, hits, misses, hitRatio, missRatio, executionTime, 
3, 1405, 8496, 0.1405, 0.8496, 11947, 
4, 1735, 8166, 0.1735, 0.8166, 11997, 
5, 2056, 7845, 0.2056, 0.7845, 7989, 
6, 2342, 7559, 0.2342, 0.7559, 12005, 
7, 2585, 7316, 0.2585, 0.7316, 12007, 
8, 2836, 7065, 0.2836, 0.7065, 7999, 
9, 3101, 6800, 0.3101, 0.68, 11999, 
10, 3321, 6580, 0.3321, 0.658, 7990, 
11, 3523, 6378, 0.3523, 0.6378, 8000, 
12, 3686, 6215, 0.3686, 0.6215, 8000, 
13, 3834, 6067, 0.3834, 0.6067, 8010, 
14, 3994, 5907, 0.3994, 0.5907, 7990, 
15, 4150, 5751, 0.415, 0.5751, 11977, 
16, 4289, 5612, 0.4289, 0.5612, 7998, 
17, 4427, 5474, 0.4427, 0.5474, 7999, 
18, 4542, 5359, 0.4542, 0.5359, 7999, 
19, 4662, 5239, 0.4662, 0.5239, 9925, 
20, 4795, 5106, 0.4795, 0.5106, 12021, 
21, 4905, 4996, 0.4905, 0.4996, 7999, 
22, 5003, 4898, 0.5003, 0.4898, 7999, 
23, 5110, 4791, 0.511, 0.4791, 8003, 
24, 5212, 4689, 0.5212, 0.4689, 8004, 
25, 5317, 4584, 0.5317, 0.4584, 7994, 
26, 5421, 4480, 0.5421, 0.448, 8046, 
27, 5524, 4377, 0.5524, 0.4377, 7999, 
28, 5611, 4290, 0.5611, 0.429, 11945, 
29, 5703, 4198, 0.5703, 0.4198, 12056, 
30, 5792, 4109, 0.5792, 0.4109, 7973, 
31, 5877, 4024, 0.5877, 0.4024, 8031, 
32, 5969, 3932, 0.5969, 0.3932, 7993, 
33, 6057, 3844, 0.6057, 0.3844, 8003, 
34, 6129, 3772, 0.6129, 0.3772, 7995, 
35, 6212, 3689, 0.6212, 0.3689, 8000, 
36, 6299, 3602, 0.6299, 0.3602, 8000, 
37, 6374, 3527, 0.6374, 0.3527, 8001, 
38, 6455, 3446, 0.6455, 0.3446, 7968, 
39, 6546, 3355, 0.6546, 0.3355, 8034, 
40, 6623, 3278, 0.6623, 0.3278, 4001, 
41, 6704, 3197, 0.6704, 0.3197, 10263, 
42, 6774, 3127, 0.6774, 0.3127, 7986, 
43, 6823, 3078, 0.6823, 0.3078, 4021, 
44, 6892, 3009, 0.6892, 0.3009, 8721, 
45, 6965, 2936, 0.6965, 0.2936, 9520, 
46, 7027, 2874, 0.7027, 0.2874, 3997, 
47, 7084, 2817, 0.7084, 0.2817, 10156, 
48, 7141, 2760, 0.7141, 0.276, 6173, 
49, 7211, 2690, 0.7211, 0.269, 8031, 
