size, Fall Factor,hits, misses, hitRatio, missRatio, executionTime,
3, 0.9,9461, 513, 0.9461, 0.0513, 3945,
4, 0.9,9644, 330, 0.9644, 0.033, 4001,
5, 0.9,9755, 219, 0.9755, 0.0219, 3962,
6, 0.9,9818, 156, 0.9818, 0.0156, 4032,
7, 0.9,9860, 114, 0.986, 0.0114, 3994,
8, 0.9,9887, 87, 0.9887, 0.0087, 4010,
9, 0.9,9904, 70, 0.9904, 0.007, 3989,
10, 0.9,9925, 49, 0.9925, 0.0049, 4001,
11, 0.9,9937, 37, 0.9937, 0.0037, 3037,
12, 0.9,9951, 23, 0.9951, 0.0023, 4030,
13, 0.9,9953, 21, 0.9953, 0.0021, 3973,
14, 0.9,9958, 16, 0.9958, 0.0016, 4002,
15, 0.9,9963, 11, 0.9963, 0.0011, 4027,
16, 0.9,9969, 5, 0.9969, 0.0005, 3998,
17, 0.9,9971, 3, 0.9971, 0.0003, 4009,
18, 0.9,9973, 1, 0.9973, 0.0001, 4730,
19, 0.9,9973, 1, 0.9973, 0.0001, 7988,
20, 0.9,9973, 1, 0.9973, 0.0001, 3613,
21, 0.9,9974, 0, 0.9974, 0, 4037,
22, 0.9,9974, 0, 0.9974, 0, 4001,
23, 0.9,9974, 0, 0.9974, 0, 4000,
24, 0.9,9974, 0, 0.9974, 0, 3966,
25, 0.9,9974, 0, 0.9974, 0, 4033,
26, 0.9,9974, 0, 0.9974, 0, 4000,
27, 0.9,9974, 0, 0.9974, 0, 8000,
28, 0.9,9974, 0, 0.9974, 0, 3967,
29, 0.9,9974, 0, 0.9974, 0, 3930,
30, 0.9,9974, 0, 0.9974, 0, 3997,
31, 0.9,9974, 0, 0.9974, 0, 4006,
32, 0.9,9974, 0, 0.9974, 0, 4000,
33, 0.9,9974, 0, 0.9974, 0, 3994,
34, 0.9,9974, 0, 0.9974, 0, 7864,
35, 0.9,9974, 0, 0.9974, 0, 4038,
36, 0.9,9974, 0, 0.9974, 0, 4624,
37, 0.9,9974, 0, 0.9974, 0, 3965,
38, 0.9,9974, 0, 0.9974, 0, 8001,
39, 0.9,9974, 0, 0.9974, 0, 3999,
40, 0.9,9974, 0, 0.9974, 0, 3968,
41, 0.9,9974, 0, 0.9974, 0, 4030,
42, 0.9,9974, 0, 0.9974, 0, 7971,
43, 0.9,9974, 0, 0.9974, 0, 4000,
44, 0.9,9974, 0, 0.9974, 0, 4004,
45, 0.9,9974, 0, 0.9974, 0, 7999,
46, 0.9,9974, 0, 0.9974, 0, 4000,
47, 0.9,9974, 0, 0.9974, 0, 4000,
48, 0.9,9974, 0, 0.9974, 0, 4029,
49, 0.9,9974, 0, 0.9974, 0, 7988,
