size, window,hits, misses, hitRatio, missRatio, executionTime,
3, 4,409, 9516, 0.0409, 0.9516, 15696,
4, 4,542, 9383, 0.0542, 0.9383, 14988,
5, 4,680, 9245, 0.068, 0.9245, 12035,
6, 4,800, 9125, 0.08, 0.9125, 13979,
7, 4,932, 8993, 0.0932, 0.8993, 15020,
8, 4,1055, 8870, 0.1055, 0.887, 13971,
9, 4,1179, 8746, 0.1179, 0.8746, 13995,
10, 4,1323, 8602, 0.1323, 0.8602, 12001,
11, 4,1446, 8479, 0.1446, 0.8479, 13048,
12, 4,1571, 8354, 0.1571, 0.8354, 13009,
13, 4,1703, 8222, 0.1703, 0.8222, 13989,
14, 4,1842, 8083, 0.1842, 0.8083, 15999,
15, 4,1981, 7944, 0.1981, 0.7944, 13028,
16, 4,2098, 7827, 0.2098, 0.7827, 13973,
17, 4,2220, 7705, 0.222, 0.7705, 13998,
18, 4,2363, 7562, 0.2363, 0.7562, 15003,
19, 4,2512, 7413, 0.2512, 0.7413, 12027,
20, 4,2644, 7281, 0.2644, 0.7281, 11972,
21, 4,2770, 7155, 0.277, 0.7155, 10999,
22, 4,2894, 7031, 0.2894, 0.7031, 11003,
23, 4,3020, 6905, 0.302, 0.6905, 11998,
24, 4,3142, 6783, 0.3142, 0.6783, 12028,
25, 4,3286, 6639, 0.3286, 0.6639, 9970,
26, 4,3433, 6492, 0.3433, 0.6492, 11003,
27, 4,3573, 6352, 0.3573, 0.6352, 12000,
28, 4,3700, 6225, 0.37, 0.6225, 10999,
29, 4,3839, 6086, 0.3839, 0.6086, 10002,
30, 4,3978, 5947, 0.3978, 0.5947, 11037,
31, 4,4116, 5809, 0.4116, 0.5809, 8963,
32, 4,4246, 5679, 0.4246, 0.5679, 11026,
33, 4,4382, 5543, 0.4382, 0.5543, 9999,
34, 4,4519, 5406, 0.4519, 0.5406, 10000,
35, 4,4663, 5262, 0.4663, 0.5262, 8975,
36, 4,4794, 5131, 0.4794, 0.5131, 9077,
37, 4,4931, 4994, 0.4931, 0.4994, 8006,
38, 4,5077, 4848, 0.5077, 0.4848, 9994,
39, 4,5204, 4721, 0.5204, 0.4721, 9001,
40, 4,5344, 4581, 0.5344, 0.4581, 8002,
41, 4,5491, 4434, 0.5491, 0.4434, 8991,
42, 4,5627, 4298, 0.5627, 0.4298, 9001,
43, 4,5739, 4186, 0.5739, 0.4186, 8999,
44, 4,5877, 4048, 0.5877, 0.4048, 8975,
45, 4,6002, 3923, 0.6002, 0.3923, 9025,
46, 4,6118, 3807, 0.6118, 0.3807, 8000,
47, 4,6257, 3668, 0.6257, 0.3668, 10006,
48, 4,6384, 3541, 0.6384, 0.3541, 9026,
49, 4,6525, 3400, 0.6525, 0.34, 8008,
