size, hits, misses, hitRatio, missRatio, executionTime,
3, 519, 9426, 0.0519, 0.9426, 12038,
4, 702, 9243, 0.0702, 0.9243, 12973,
5, 864, 9081, 0.0864, 0.9081, 13033,
6, 1053, 8892, 0.1053, 0.8892, 13000,
7, 1252, 8693, 0.1252, 0.8693, 11001,
8, 1432, 8513, 0.1432, 0.8513, 11988,
9, 1612, 8333, 0.1612, 0.8333, 12014,
10, 1791, 8154, 0.1791, 0.8154, 12964,
11, 1998, 7947, 0.1998, 0.7947, 12001,
12, 2173, 7772, 0.2173, 0.7772, 11964,
13, 2346, 7599, 0.2346, 0.7599, 12034,
14, 2525, 7420, 0.2525, 0.742, 13002,
15, 2704, 7241, 0.2704, 0.7241, 12993,
16, 2886, 7059, 0.2886, 0.7059, 12004,
17, 3067, 6878, 0.3067, 0.6878, 13002,
18, 3248, 6697, 0.3248, 0.6697, 11964,
19, 3445, 6500, 0.3445, 0.65, 13029,
20, 3618, 6327, 0.3618, 0.6327, 12008,
21, 3751, 6194, 0.3751, 0.6194, 11992,
22, 3933, 6012, 0.3933, 0.6012, 11975,
23, 4151, 5794, 0.4151, 0.5794, 13011,
24, 4297, 5648, 0.4297, 0.5648, 13020,
25, 4486, 5459, 0.4486, 0.5459, 13000,
26, 4675, 5270, 0.4675, 0.527, 13004,
27, 4850, 5095, 0.485, 0.5095, 12996,
28, 5035, 4910, 0.5035, 0.491, 11966,
29, 5222, 4723, 0.5222, 0.4723, 16018,
30, 5392, 4553, 0.5392, 0.4553, 14011,
31, 5632, 4313, 0.5632, 0.4313, 12971,
32, 5809, 4136, 0.5809, 0.4136, 14031,
33, 5971, 3974, 0.5971, 0.3974, 13978,
34, 6170, 3775, 0.617, 0.3775, 11990,
35, 6291, 3654, 0.6291, 0.3654, 11996,
36, 6499, 3446, 0.6499, 0.3446, 13003,
37, 6729, 3216, 0.6729, 0.3216, 13966,
38, 6940, 3005, 0.694, 0.3005, 13014,
39, 7048, 2897, 0.7048, 0.2897, 11996,
40, 7292, 2653, 0.7292, 0.2653, 12997,
41, 7414, 2531, 0.7414, 0.2531, 13999,
42, 7636, 2309, 0.7636, 0.2309, 12992,
43, 7803, 2142, 0.7803, 0.2142, 13001,
44, 8011, 1934, 0.8011, 0.1934, 14973,
45, 8173, 1772, 0.8173, 0.1772, 14998,
46, 8339, 1606, 0.8339, 0.1606, 14024,
47, 8525, 1420, 0.8525, 0.142, 14978,
48, 8744, 1201, 0.8744, 0.1201, 14049,
49, 8896, 1049, 0.8896, 0.1049, 12985,
