size, hits, misses, hitRatio, missRatio, executionTime,
3, 3040, 6861, 0.304, 0.6861, 27131,
4, 3827, 6074, 0.3827, 0.6074, 15127,
5, 3981, 5920, 0.3981, 0.592, 7988,
6, 4211, 5690, 0.4211, 0.569, 7999,
7, 4390, 5511, 0.439, 0.5511, 12013,
8, 4612, 5289, 0.4612, 0.5289, 11994,
9, 4779, 5122, 0.4779, 0.5122, 11969,
10, 5063, 4838, 0.5063, 0.4838, 8033,
11, 5297, 4604, 0.5297, 0.4604, 10867,
12, 5313, 4588, 0.5313, 0.4588, 10317,
13, 5527, 4374, 0.5527, 0.4374, 9609,
14, 5669, 4232, 0.5669, 0.4232, 10273,
15, 5520, 4381, 0.552, 0.4381, 13639,
16, 5788, 4113, 0.5788, 0.4113, 10347,
17, 5902, 3999, 0.5902, 0.3999, 9873,
18, 5987, 3914, 0.5987, 0.3914, 13352,
19, 6080, 3821, 0.608, 0.3821, 10118,
20, 6145, 3756, 0.6145, 0.3756, 16251,
21, 6184, 3717, 0.6184, 0.3717, 15127,
22, 6236, 3665, 0.6236, 0.3665, 11969,
23, 6271, 3630, 0.6271, 0.363, 14199,
24, 6379, 3522, 0.6379, 0.3522, 12025,
25, 6486, 3415, 0.6486, 0.3415, 10727,
26, 6525, 3376, 0.6525, 0.3376, 14245,
27, 6574, 3327, 0.6574, 0.3327, 10104,
28, 6680, 3221, 0.668, 0.3221, 12301,
29, 6750, 3151, 0.675, 0.3151, 15993,
30, 6779, 3122, 0.6779, 0.3122, 14175,
31, 6871, 3030, 0.6871, 0.303, 10358,
32, 6924, 2977, 0.6924, 0.2977, 12051,
33, 6995, 2906, 0.6995, 0.2906, 12098,
34, 7025, 2876, 0.7025, 0.2876, 14394,
35, 7077, 2824, 0.7077, 0.2824, 10399,
36, 7148, 2753, 0.7148, 0.2753, 12458,
37, 7186, 2715, 0.7186, 0.2715, 14085,
38, 7252, 2649, 0.7252, 0.2649, 12504,
39, 7235, 2666, 0.7235, 0.2666, 12378,
40, 7302, 2599, 0.7302, 0.2599, 11113,
41, 7316, 2585, 0.7316, 0.2585, 16002,
42, 7382, 2519, 0.7382, 0.2519, 10206,
43, 7429, 2472, 0.7429, 0.2472, 16062,
44, 7506, 2395, 0.7506, 0.2395, 12275,
45, 7554, 2347, 0.7554, 0.2347, 14053,
46, 7572, 2329, 0.7572, 0.2329, 14220,
47, 7602, 2299, 0.7602, 0.2299, 12316,
48, 7662, 2239, 0.7662, 0.2239, 20094,
49, 7718, 2183, 0.7718, 0.2183, 14038,
