size, window,hits, misses, hitRatio, missRatio, executionTime,
3, 4,676, 9282, 0.0676, 0.9282, 11008,
4, 4,908, 9050, 0.0908, 0.905, 11036,
5, 4,1135, 8823, 0.1135, 0.8823, 10966,
6, 4,1365, 8593, 0.1365, 0.8593, 10018,
7, 4,1570, 8388, 0.157, 0.8388, 10011,
8, 4,1805, 8153, 0.1805, 0.8153, 10972,
9, 4,2045, 7913, 0.2045, 0.7913, 10034,
10, 4,2267, 7691, 0.2267, 0.7691, 11000,
11, 4,2502, 7456, 0.2502, 0.7456, 10970,
12, 4,2744, 7214, 0.2744, 0.7214, 9073,
13, 4,3010, 6948, 0.301, 0.6948, 10003,
14, 4,3267, 6691, 0.3267, 0.6691, 9000,
15, 4,3502, 6456, 0.3502, 0.6456, 9001,
16, 4,3758, 6200, 0.3758, 0.62, 8000,
17, 4,3994, 5964, 0.3994, 0.5964, 10020,
18, 4,4212, 5746, 0.4212, 0.5746, 8943,
19, 4,4471, 5487, 0.4471, 0.5487, 9000,
20, 4,4716, 5242, 0.4716, 0.5242, 9001,
21, 4,4973, 4985, 0.4973, 0.4985, 7999,
22, 4,5199, 4759, 0.5199, 0.4759, 9000,
23, 4,5419, 4539, 0.5419, 0.4539, 9001,
24, 4,5661, 4297, 0.5661, 0.4297, 6999,
25, 4,5951, 4007, 0.5951, 0.4007, 9000,
26, 4,6166, 3792, 0.6166, 0.3792, 8001,
27, 4,6386, 3572, 0.6386, 0.3572, 6999,
28, 4,6629, 3329, 0.6629, 0.3329, 6928,
29, 4,6845, 3113, 0.6845, 0.3113, 7000,
30, 4,7075, 2883, 0.7075, 0.2883, 8000,
31, 4,7274, 2684, 0.7274, 0.2684, 7000,
32, 4,7541, 2417, 0.7541, 0.2417, 7000,
33, 4,7782, 2176, 0.7782, 0.2176, 8001,
34, 4,8018, 1940, 0.8018, 0.194, 6999,
35, 4,8296, 1662, 0.8296, 0.1662, 6000,
36, 4,8543, 1415, 0.8543, 0.1415, 6000,
37, 4,8778, 1180, 0.8778, 0.118, 6000,
38, 4,9026, 932, 0.9026, 0.0932, 5999,
39, 4,9248, 710, 0.9248, 0.071, 6001,
40, 4,9497, 461, 0.9497, 0.0461, 6000,
41, 4,9728, 230, 0.9728, 0.023, 6001,
42, 4,9958, 0, 0.9958, 0, 6001,
43, 4,9958, 0, 0.9958, 0, 5999,
44, 4,9958, 0, 0.9958, 0, 6002,
45, 4,9958, 0, 0.9958, 0, 5998,
46, 4,9958, 0, 0.9958, 0, 5000,
47, 4,9958, 0, 0.9958, 0, 7003,
48, 4,9958, 0, 0.9958, 0, 4998,
49, 4,9958, 0, 0.9958, 0, 6000,
